City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
313,nishihara,26.1842,127.7558,19.6,89,75,3.09,JP,1675813257
314,saldanha,-33.0117,17.9442,17.03,89,24,7.26,ZA,1675812879
315,vardo,70.3705,31.1107,-0.01,86,40,10.29,NO,1675813009
316,trairi,-3.2778,-39.2689,25.89,80,100,3.12,BR,1675812855
317,salasu de sus,45.5167,22.95,-7.93,93,100,1.41,RO,1675813258
318,mitsamiouli,-11.3847,43.2844,27.16,78,99,4.71,KM,1675813258
319,kudahuvadhoo,2.6708,72.8944,26.87,74,59,3.45,MV,1675812955
320,norman wells,65.282,-126.8329,-21.98,71,75,1.03,CA,1675813035
321,morant bay,17.8815,-76.4093,27.79,83,9,5.88,JM,1675813258
322,onega,63.9061,38.1404,0.04,96,100,5.49,RU,1675813259
323,zhangye,38.9342,100.4517,-2.89,51,100,2.01,CN,1675813259
324,gat,31.61,34.7642,11.38,100,85,9.36,IL,1675812782
325,kargasok,59.0556,80.8572,-17.36,97,95,2.87,RU,1675813259
326,coihaique,-45.5752,-72.0662,19.97,52,75,3.6,CL,1675813072
327,pokrovskoye,47.4157,38.8971,-5.27,65,100,8.61,RU,1675813260
328,colborne,44.0001,-77.8828,6.56,94,100,8.73,CA,1675813260
329,kibala,9.1104,18.3463,26.19,14,3,2.54,TD,1675813260
330,victoria point,-27.5833,153.3,28.99,57,99,2.68,AU,1675813261
331,port macquarie,-31.4333,152.9167,24.38,63,92,2.35,AU,1675813261
332,xining,36.6167,101.7667,-3.13,94,100,0.35,CN,1675812990
333,dandong,40.1292,124.3947,-3.59,45,0,2.62,CN,1675813262
334,karasburg,-28.0167,18.75,20.59,52,47,3.13,NA,1675813262
335,luba,3.4568,8.5547,26.94,78,64,2.3,GQ,1675813263
336,severnyy,50.677,36.5532,-11.98,85,0,4.0,RU,1675813264
337,sawakin,19.1059,37.3321,21.72,63,93,6.36,SD,1675813265
338,tautira,-17.7333,-149.15,26.66,64,0,2.58,PF,1675813267
339,martapura,-3.4167,114.85,24.05,100,20,2.57,ID,1675813268
340,isangel,-19.55,169.2667,29.06,89,100,1.03,VU,1675812867
341,mocajuba,-2.5842,-49.5072,23.28,97,98,1.46,BR,1675813269
342,adrar,20.5022,-10.0711,16.23,21,94,5.06,MR,1675813018
343,vila franca do campo,37.7167,-25.4333,13.23,83,86,4.91,PT,1675813031
344,manggar,-2.8833,108.2667,25.9,85,99,1.93,ID,1675813269
345,new norfolk,-42.7826,147.0587,16.51,42,8,0.69,AU,1675812804
346,flinders,-34.5833,150.8552,21.32,93,100,1.74,AU,1675813270
347,sabang,5.8933,95.3214,27.32,73,92,5.86,ID,1675813270
348,panguipulli,-39.6333,-72.3333,20.72,46,0,1.81,CL,1675813271
349,berlevag,70.8578,29.0864,1.0,80,75,11.32,NO,1675812950
350,moron,-34.6534,-58.6198,32.18,70,6,4.5,AR,1675812898
351,lewisporte,49.2499,-55.0482,-11.16,88,94,1.77,CA,1675813271
352,kasangulu,-4.5911,15.1708,20.99,95,94,1.85,CD,1675813271
353,aykhal,66.0,111.5,-39.07,100,99,1.46,RU,1675813272
354,veraval,20.9,70.3667,20.9,63,1,3.5,IN,1675813272
355,sembe,1.6481,14.5806,22.53,71,91,1.24,CG,1675813273
356,port augusta,-32.5,137.7667,31.71,18,0,2.96,AU,1675812704
357,vaitape,-16.5167,-151.75,27.2,73,32,5.59,PF,1675812891
358,coquimbo,-29.9533,-71.3436,17.85,88,100,3.6,CL,1675812839
359,dwarka,22.2394,68.9678,20.84,66,24,4.07,IN,1675813274
360,bonavista,48.6499,-53.1147,-4.87,67,100,9.47,CA,1675813276
361,leningradskiy,69.3833,178.4167,-31.43,96,100,2.43,RU,1675813049
362,yara,20.2753,-76.9533,24.62,68,46,7.14,CU,1675813281
363,lerwick,60.1545,-1.1494,7.0,74,15,13.82,GB,1675813283
